job_type,model,dataset_size,batch_size,epochs,worker_cpu,worker_gpu,worker_mem,runtime
preprocessing,vit-base,25366,16,2,8,2,16384,17.23904983
evaluation,resnet50,4239,16,5,4,3,8192,27.67153835
evaluation,gpt2,2496,16,4,8,4,32768,8.259590011
training,catboost,41524,128,5,8,2,16384,12.50957363
inference,lstm,30267,16,1,16,1,16384,130.7948563
preprocessing,random_forest,38559,32,5,16,2,32768,17.40789743
evaluation,bert-large,10733,64,2,16,2,16384,2.720026205
feature_extraction,vit-base,7183,32,4,32,1,32768,5.558169907
inference,bert-base,5227,16,3,16,2,32768,15.81424709
feature_extraction,gru,17048,16,1,16,1,16384,62.48660195
training,gru,14162,16,2,8,2,32768,116.7853849
evaluation,catboost,18409,64,4,8,1,16384,5.9466549
preprocessing,bert-large,20448,16,1,8,3,32768,10.07250062
feature_extraction,bert-base,31256,32,2,16,2,32768,20.37651384
inference,efficientnet,25815,64,1,32,2,32768,4.893991793
evaluation,principal_component_analysis (pca),49108,16,3,16,1,32768,173.6820977
feature_extraction,xgboost,44610,64,4,16,1,16384,8.236504477
feature_extraction,vgg19,32615,32,3,8,1,16384,38.32155651
inference,resnet101,175704,32,3,8,1,32768,235.1586563
inference,linear_regression,9718,16,1,8,1,16384,35.24723092
inference,principal_component_analysis (pca),77512,16,3,16,1,16384,225.2986641
training,principal_component_analysis (pca),42000,16,5,16,2,65536,467.5643555
preprocessing,vgg16,4821,64,5,8,2,16384,3.769497283
evaluation,k-means,24203,32,1,4,3,16384,20.93025923
feature_extraction,mobilenet,21047,32,3,8,2,32768,13.8564284
inference,vgg19,47488,32,1,16,3,16384,37.82996105
evaluation,k-nearest_neighbors (k-nn),72813,32,1,16,1,32768,57.24088695
preprocessing,vit-base,85490,16,2,8,2,65536,50.56443152
training,principal_component_analysis (pca),41117,16,3,16,1,32768,338.0070892
feature_extraction,bert-base,43344,32,2,16,2,8192,33.98026398
evaluation,vgg19,8037,32,3,8,3,32768,9.196849452
feature_extraction,vgg19,61114,32,1,16,2,32768,43.31660498
training,gpt2-medium,6895,64,2,16,2,16384,2.935135406
feature_extraction,gpt2,8355,32,1,16,4,65536,3.800414307
preprocessing,catboost,18818,64,3,16,1,8192,12.20152136
evaluation,vgg19,93129,64,4,16,2,32768,21.78343803
training,mobilenet,32694,128,1,16,1,32768,1.617259326
feature_extraction,vit-base,119844,64,1,16,2,8192,23.85688724
inference,vgg19,13688,32,4,32,1,8192,13.98169642
preprocessing,vgg16,13835,32,2,8,3,32768,6.988505809
training,yolo,15436,16,4,8,2,32768,254.6468248
training,mobilenet,23619,16,2,8,4,16384,109.640022
feature_extraction,principal_component_analysis (pca),11108,128,3,16,1,65536,0.370182126
training,xgboost,100655,32,5,8,3,16384,386.2242285
feature_extraction,bert-base,2541,128,1,8,2,8192,0.156182775
feature_extraction,bert-large,9378,16,4,16,4,16384,19.39435124
preprocessing,gpt2,26923,32,1,8,1,65536,19.55531067
feature_extraction,gpt2,43107,32,2,8,1,8192,60.67169994
training,efficientnet,30347,32,1,8,1,16384,40.30649336
preprocessing,bert-large,7528,16,1,8,3,16384,4.309702015
inference,gpt2,19307,16,4,32,3,16384,49.36344962
feature_extraction,bert-large,15439,16,4,8,2,8192,60.24577063
preprocessing,mobilenet,9593,64,3,8,1,16384,7.219053723
inference,yolo,1391,64,2,16,2,8192,0.346361225
training,polynomial_regression,78057,16,5,16,2,16384,870.695819
feature_extraction,vit-base,105862,32,2,16,3,8192,69.08617925
training,vgg16,32526,64,2,4,3,65536,15.55613477
training,resnet101,133918,16,2,16,1,32768,1147.372411
feature_extraction,random_forest,1135,128,4,8,1,32768,0.059051224
preprocessing,lstm,83079,16,3,16,2,32768,38.94808185
feature_extraction,lstm,15847,32,5,16,2,32768,10.51389339
inference,gpt2,5953,64,1,16,1,16384,1.835407365
preprocessing,principal_component_analysis (pca),2455,32,2,16,2,32768,0.818524612
inference,vgg16,43584,32,5,8,1,65536,48.94208587
evaluation,gpt2,21074,32,5,32,2,32768,20.40416352
feature_extraction,principal_component_analysis (pca),4795,32,1,16,3,32768,1.632403968
feature_extraction,lstm,34672,16,5,16,3,65536,78.1284839
preprocessing,naive_bayes,54100,32,1,8,2,32768,21.81094543
feature_extraction,xgboost,17744,16,3,16,1,32768,43.6020861
preprocessing,catboost,36658,32,5,16,1,16384,21.01541749
inference,lstm,29456,16,4,8,1,32768,143.281761
feature_extraction,efficientnet,13382,128,1,16,1,32768,0.702168271
preprocessing,resnet101,21038,16,1,32,3,32768,8.695299813
preprocessing,lightgbm,203380,32,1,8,1,8192,163.2691092
preprocessing,gpt2,77595,64,5,8,2,65536,48.23246933
training,k-means,78464,32,1,8,1,32768,67.62555239
inference,gru,31489,16,1,8,2,16384,140.1494471
evaluation,xgboost,9498,32,5,8,2,16384,11.23101258
inference,resnet101,5926,16,5,8,1,16384,34.06853234
preprocessing,catboost,38534,64,3,16,1,32768,20.14708974
inference,mobilenet,107138,128,3,16,2,32768,3.917197325
evaluation,principal_component_analysis (pca),74021,64,2,8,1,65536,17.6694395
inference,bert-large,2759,16,3,16,2,32768,9.40578885
preprocessing,k-means,39109,32,2,16,1,16384,17.23951295
inference,logistic_regression,57565,32,2,32,1,32768,31.67761757
inference,linear_regression,3015,32,5,8,2,32768,2.045066713
feature_extraction,resnet101,23738,16,2,8,1,16384,115.7896574
preprocessing,gru,12813,16,3,8,3,32768,6.378432571
feature_extraction,gpt2-medium,35299,64,5,16,2,65536,5.257733132
training,efficientnet,12568,32,3,16,3,8192,33.01088918
preprocessing,gpt2-medium,18953,64,1,32,2,8192,11.16128007
preprocessing,random_forest,17079,16,1,8,1,65536,11.47862676
preprocessing,gpt2-medium,11408,128,5,32,3,32768,4.676170333
inference,lstm,56896,16,5,8,1,8192,350.6840214
training,k-nearest_neighbors (k-nn),131126,16,2,16,1,16384,812.609054
evaluation,lightgbm,8991,32,1,16,4,65536,4.766629531
inference,random_forest,15264,32,3,8,1,65536,13.41142226
feature_extraction,mobilenet,30006,32,3,8,3,32768,15.25026386
inference,resnet101,6819,32,2,8,3,65536,5.354124132
inference,resnet50,46323,32,5,16,3,32768,32.24465485
inference,vgg19,3430,32,2,16,2,65536,2.795929556
preprocessing,catboost,10280,32,3,16,2,32768,3.931700804
feature_extraction,support_vector_machine (svm),6178,128,4,8,1,8192,0.321022526
inference,catboost,27742,16,1,16,2,16384,87.55373538
preprocessing,bert-large,5228,64,2,16,1,16384,4.020110101
evaluation,k-means,35612,64,2,8,3,65536,6.430074636
preprocessing,k-nearest_neighbors (k-nn),22204,32,2,32,3,32768,5.182446638
inference,naive_bayes,87398,16,1,16,1,16384,254.4408127
feature_extraction,vgg19,33545,32,3,16,1,65536,25.91051896
evaluation,naive_bayes,5772,16,1,8,1,65536,23.67207011
feature_extraction,lightgbm,44961,32,1,16,1,16384,32.56500676
evaluation,logistic_regression,33635,64,1,16,3,8192,6.256211666
feature_extraction,gru,72929,16,1,32,3,8192,184.5468974
feature_extraction,lightgbm,10380,128,2,32,1,16384,0.456626342
feature_extraction,gpt2,8816,16,1,16,1,8192,39.99902737
evaluation,vgg19,61743,16,1,8,2,65536,278.493443
inference,principal_component_analysis (pca),40817,128,5,8,2,16384,1.735639263
training,vit-base,63312,16,1,16,1,16384,302.1440482
feature_extraction,linear_regression,76956,16,1,8,2,16384,192.0265113
feature_extraction,principal_component_analysis (pca),7728,32,4,16,2,32768,3.471363703
training,linear_regression,185550,16,1,16,4,8192,314.7263725
preprocessing,vgg16,58533,64,5,8,2,32768,39.98015934
inference,mobilenet,9156,16,1,16,1,32768,32.03312534
training,resnet101,57573,16,1,16,1,32768,233.4807316
inference,random_forest,30850,128,5,16,1,65536,1.446836837
training,lightgbm,106815,32,1,16,2,16384,76.57259481
evaluation,lstm,41988,32,4,16,2,16384,44.49562733
training,efficientnet,25687,16,1,16,3,32768,74.09372548
evaluation,catboost,33481,32,5,16,2,8192,30.71500794
training,linear_regression,24917,16,4,16,2,65536,188.9939655
feature_extraction,xgboost,7444,64,5,16,1,32768,1.266135895
preprocessing,vit-base,8904,16,5,16,1,65536,5.214270249
preprocessing,resnet50,21690,32,2,16,3,16384,9.650673399
evaluation,gpt2,18405,16,2,32,1,32768,76.9238634
evaluation,vgg16,36604,16,2,16,4,16384,103.9451174
preprocessing,logistic_regression,12451,64,2,16,3,16384,3.914575393
evaluation,yolo,34898,16,2,8,1,32768,226.3372012
evaluation,gpt2-medium,59243,16,1,4,2,65536,373.7151616
training,gru,10290,128,2,16,1,16384,1.55001448
feature_extraction,principal_component_analysis (pca),26521,64,1,8,1,32768,5.127534429
training,resnet50,91321,16,3,8,4,16384,888.8460665
training,support_vector_machine (svm),14977,32,2,8,3,16384,18.5392751
evaluation,gpt2-medium,31114,128,3,16,1,32768,2.475183538
evaluation,principal_component_analysis (pca),47057,32,5,16,4,16384,24.99320959
training,gru,14057,32,1,8,2,16384,16.83224549
evaluation,xgboost,9726,32,2,16,1,32768,9.677684697
preprocessing,gru,13517,16,5,16,3,16384,6.452450047
training,logistic_regression,166299,32,1,8,2,65536,116.2402055
preprocessing,principal_component_analysis (pca),22040,64,1,4,1,32768,15.47024864
feature_extraction,vgg19,3408,32,1,32,1,65536,2.243734948
training,polynomial_regression,50326,32,4,8,2,16384,151.9798174
evaluation,gpt2,21473,16,5,16,2,32768,90.88057914
training,k-means,30894,64,2,16,3,16384,7.956880338
training,efficientnet,58869,64,1,8,2,32768,13.51015831
training,catboost,17960,16,1,16,1,65536,56.52827934
feature_extraction,gru,8179,16,5,16,4,16384,15.65181755
evaluation,vgg19,58891,32,3,16,1,65536,69.21606366
inference,gru,25247,32,1,8,4,16384,20.21363639
preprocessing,naive_bayes,108835,16,3,16,1,32768,48.41786666
preprocessing,efficientnet,32260,64,3,8,3,32768,18.03764794
inference,support_vector_machine (svm),14795,16,4,16,1,16384,40.10300322
inference,k-means,63331,16,5,32,2,32768,122.1171504
training,lightgbm,4796,128,1,8,4,16384,0.173339206
feature_extraction,efficientnet,120043,16,4,16,3,65536,240.4173778
evaluation,naive_bayes,95278,64,3,8,1,32768,25.65310679
feature_extraction,lstm,20314,32,5,16,1,65536,14.99646204
feature_extraction,linear_regression,22705,16,5,4,3,32768,46.63263244
preprocessing,support_vector_machine (svm),13103,32,1,8,3,16384,5.268304733
feature_extraction,vgg16,26413,32,2,32,1,65536,17.09932988
feature_extraction,k-means,17827,16,2,16,3,65536,24.63693366
evaluation,naive_bayes,39687,16,2,16,3,8192,107.206236
training,k-nearest_neighbors (k-nn),17600,64,1,8,1,65536,3.57147674
inference,support_vector_machine (svm),3262,16,3,8,1,65536,9.667246562
feature_extraction,yolo,9877,16,2,16,1,32768,33.4892348
evaluation,resnet50,24346,32,2,16,1,8192,38.08263281
training,k-nearest_neighbors (k-nn),49222,16,4,8,2,32768,482.3047696
preprocessing,xgboost,11178,128,1,4,2,32768,7.551723075
training,lightgbm,4704,32,3,4,2,16384,16.65476423
training,gpt2-medium,69326,64,4,16,1,65536,62.08485997
evaluation,bert-base,7341,32,5,8,1,16384,14.0877645
evaluation,bert-large,18128,64,2,4,2,65536,6.983786339
preprocessing,vgg16,3122,32,2,16,1,65536,1.837886989
inference,linear_regression,8981,32,3,16,2,16384,5.623603862
training,vgg16,92849,128,2,16,1,8192,14.59981174
preprocessing,polynomial_regression,123552,16,1,16,1,16384,57.82069443
preprocessing,catboost,26897,16,1,8,3,8192,14.14106103
preprocessing,k-means,19818,64,1,8,4,16384,6.893215086
evaluation,vgg16,10345,16,4,8,2,16384,59.85193574
feature_extraction,yolo,5085,32,3,16,2,16384,3.916696949
feature_extraction,lstm,12800,16,3,8,2,16384,46.5181945
inference,logistic_regression,13489,64,1,8,3,32768,2.017843726
feature_extraction,gru,19614,16,1,16,1,8192,83.53510127
inference,gpt2-medium,14405,64,2,16,3,32768,2.202526206
training,random_forest,33263,128,5,16,1,16384,9.700311151
feature_extraction,gpt2-medium,77329,32,4,16,2,32768,48.19328702
evaluation,vgg16,31432,32,2,8,2,16384,47.28565356
feature_extraction,gpt2,25970,64,2,16,4,32768,3.140187966
inference,support_vector_machine (svm),96399,64,2,8,3,65536,13.90197578
preprocessing,vit-base,206733,32,2,16,3,32768,86.82103456
inference,mobilenet,19264,32,2,16,1,16384,16.16299961
feature_extraction,random_forest,25225,32,3,8,2,16384,18.47951172
evaluation,mobilenet,56301,16,4,8,4,8192,184.894058
training,polynomial_regression,85794,64,3,16,1,16384,45.99551326
inference,lstm,130707,16,2,16,1,32768,504.8034328
inference,bert-base,36907,64,2,8,1,8192,14.77494416
inference,efficientnet,32296,32,1,16,1,65536,32.57610278
training,lightgbm,27148,32,3,8,1,16384,92.05272953
evaluation,support_vector_machine (svm),30031,128,2,8,2,32768,1.521087829
training,lstm,53778,16,5,16,2,32768,889.6583631
training,k-means,7321,32,1,8,2,65536,4.431024729
feature_extraction,vgg19,8373,64,1,8,3,32768,1.356190231
preprocessing,gpt2,26133,16,1,8,2,65536,17.48674403
preprocessing,logistic_regression,25131,32,4,8,1,16384,14.80332738
feature_extraction,bert-large,29922,32,5,8,2,32768,24.64594876
inference,mobilenet,52058,32,4,16,3,16384,29.31136839
preprocessing,mobilenet,29786,16,3,16,1,16384,17.41699016
feature_extraction,k-nearest_neighbors (k-nn),5177,32,2,8,4,32768,2.055396811
inference,principal_component_analysis (pca),3529,64,4,16,4,65536,0.301880216
evaluation,bert-large,81906,16,3,16,1,8192,476.0982495
training,gpt2,178326,64,2,4,1,32768,147.9263123
feature_extraction,resnet50,24893,64,1,8,3,32768,4.22717874
training,k-means,48177,16,2,16,3,32768,156.652548
training,mobilenet,29381,32,2,8,2,32768,45.21427295
evaluation,vit-base,83070,64,5,16,2,65536,20.44944432
training,mobilenet,38233,32,2,16,2,16384,57.85139791
inference,vgg19,19633,32,3,16,1,32768,21.52009824
feature_extraction,vgg16,14105,64,1,8,1,16384,3.841548068
feature_extraction,resnet50,39168,32,5,8,2,16384,37.96492336
feature_extraction,xgboost,6667,16,4,32,2,32768,13.47171889
training,vit-base,33979,128,5,8,3,16384,10.77652972
preprocessing,lightgbm,23908,16,5,8,1,16384,18.50361952
inference,yolo,25429,128,2,8,1,32768,1.91736999
feature_extraction,vgg16,20948,16,1,16,3,32768,43.92530144
evaluation,polynomial_regression,97021,32,1,4,1,8192,150.7095764
evaluation,k-nearest_neighbors (k-nn),8755,64,5,16,2,32768,1.35019183
inference,gpt2-medium,53157,64,3,16,2,32768,11.51708488
preprocessing,gru,26146,128,1,4,2,16384,24.41592829
training,lightgbm,8389,32,1,16,4,32768,3.276130517
evaluation,bert-base,94435,16,3,8,2,16384,481.3096297
inference,gpt2,10923,16,3,16,1,16384,46.87546695
inference,gpt2-medium,12972,32,2,8,2,32768,11.96714106
feature_extraction,xgboost,9553,16,4,4,1,32768,41.75172141
preprocessing,catboost,3687,16,2,8,1,32768,2.169043953
evaluation,bert-large,50114,128,5,8,1,65536,4.411870456
feature_extraction,gpt2,30227,64,5,32,1,32768,5.776981918
evaluation,bert-base,9722,16,4,8,1,8192,70.14813136
training,yolo,8094,16,1,32,1,16384,30.21724675
preprocessing,yolo,10211,64,2,32,4,32768,3.351245998
feature_extraction,vit-base,85010,64,5,16,3,16384,14.11075259
preprocessing,vgg16,69080,32,1,16,2,32768,38.33366683
training,gpt2-medium,16426,64,1,8,1,8192,5.913723175
training,polynomial_regression,22243,32,5,32,1,65536,58.26099762
evaluation,resnet50,17782,32,1,8,2,16384,25.52873477
inference,vgg19,7359,32,1,8,3,32768,6.160806406
preprocessing,support_vector_machine (svm),234355,16,1,16,2,8192,100.4623691
inference,vit-base,9852,16,5,16,4,65536,19.12436767
inference,efficientnet,7680,16,1,8,2,32768,29.02936041
feature_extraction,efficientnet,19281,16,2,16,1,65536,59.21361685
preprocessing,xgboost,13593,16,3,16,3,8192,5.879641103
inference,xgboost,47958,16,3,8,2,16384,172.3760876
inference,catboost,24636,16,5,16,2,16384,74.26378878
feature_extraction,random_forest,30017,32,3,16,1,32768,20.95322363
training,efficientnet,6957,64,5,4,2,32768,11.16615959
feature_extraction,bert-large,10676,16,5,4,4,32768,29.48514965
feature_extraction,gru,42223,128,4,8,3,32768,1.870111404
inference,naive_bayes,33354,32,5,16,2,32768,17.56824085
training,resnet101,27706,64,4,8,2,32768,26.73408504
evaluation,polynomial_regression,5208,32,4,32,1,16384,4.095998088
training,vgg19,12325,32,2,8,1,65536,29.52611523
inference,bert-base,43466,16,1,16,1,8192,218.8545784
inference,logistic_regression,5390,32,1,32,2,8192,2.90401269
evaluation,catboost,7657,16,1,32,2,16384,26.160472
preprocessing,support_vector_machine (svm),43205,16,2,8,3,8192,20.45767021
preprocessing,vgg16,7932,16,3,8,1,8192,7.755784023
preprocessing,yolo,74427,32,1,8,1,32768,57.21654376
inference,resnet50,54176,16,2,8,3,16384,206.4142956
feature_extraction,vgg19,14113,32,4,16,2,16384,11.04285766
feature_extraction,efficientnet,2655,16,2,16,1,65536,7.791335187
preprocessing,resnet101,13930,128,1,8,1,65536,10.25178803
preprocessing,lightgbm,8780,32,3,16,2,16384,3.992751061
preprocessing,k-means,51471,128,4,8,4,32768,14.33892453
feature_extraction,resnet50,7785,16,2,16,1,16384,29.2434905
training,catboost,31572,32,5,16,3,16384,101.0316759
training,vgg19,33837,16,1,8,1,16384,183.3446634
evaluation,naive_bayes,142123,32,3,8,4,65536,78.38807262
preprocessing,logistic_regression,5934,16,2,8,1,65536,2.860358726
preprocessing,support_vector_machine (svm),4149,16,3,16,2,65536,1.307901829
preprocessing,gpt2,105136,32,1,32,1,65536,60.36143933
inference,resnet50,8956,16,1,16,2,32768,28.24163962
preprocessing,bert-base,36630,32,3,8,2,16384,25.16812279
preprocessing,resnet101,28179,16,1,16,1,32768,19.57156119
evaluation,gpt2-medium,10576,16,5,4,1,32768,73.29175901
feature_extraction,mobilenet,7084,64,5,8,1,8192,1.940110818
evaluation,naive_bayes,93343,16,4,8,1,16384,464.0733283
evaluation,vgg19,16181,32,1,32,1,32768,18.37920974
feature_extraction,support_vector_machine (svm),72069,32,5,16,1,65536,35.55250672
feature_extraction,polynomial_regression,11058,128,4,16,3,32768,0.244111181
inference,xgboost,28087,16,1,8,2,32768,91.7820114
preprocessing,xgboost,37357,16,1,16,3,32768,13.67732704
evaluation,naive_bayes,16356,32,5,16,2,16384,12.60142495
feature_extraction,support_vector_machine (svm),18069,32,2,8,2,16384,12.05425556
training,polynomial_regression,29339,16,5,16,4,65536,213.0262352
preprocessing,naive_bayes,13842,64,2,4,1,32768,9.059821953
evaluation,lightgbm,105914,16,1,8,1,65536,553.4430168
preprocessing,k-means,2334,32,2,8,3,65536,0.74315277
inference,support_vector_machine (svm),34274,16,1,8,1,65536,109.2662271
feature_extraction,naive_bayes,2203,32,3,8,1,32768,1.638973381
training,gpt2,51329,16,1,8,3,32768,158.4324651
preprocessing,linear_regression,29798,64,1,16,1,65536,13.14965674
evaluation,bert-base,17503,64,4,16,1,16384,6.435091635
evaluation,k-means,5966,32,3,32,1,8192,4.931210343
inference,mobilenet,27980,32,5,16,3,32768,14.38972554
preprocessing,lstm,11999,16,3,8,1,32768,9.462246206
feature_extraction,logistic_regression,6807,32,5,4,3,32768,3.747864227
inference,naive_bayes,105967,64,2,8,4,16384,14.48024274
training,gpt2,406387,16,5,8,1,16384,10925.66756
evaluation,xgboost,12164,128,1,8,3,16384,0.760868723
evaluation,vgg19,23730,16,5,16,1,65536,116.1741306
evaluation,principal_component_analysis (pca),6093,32,5,32,2,16384,4.154584306
evaluation,naive_bayes,12253,16,2,8,1,16384,54.93986107
evaluation,resnet50,74492,64,5,16,2,65536,19.56715709
training,principal_component_analysis (pca),12029,64,1,16,4,65536,1.072844081
preprocessing,resnet50,5436,32,2,8,1,32768,4.280735886
evaluation,naive_bayes,63865,32,5,8,3,32768,43.72665068
training,bert-large,12942,16,4,8,1,32768,239.1201819
training,lightgbm,112786,16,3,8,2,8192,1460.310204
evaluation,gru,7453,16,4,8,1,16384,50.98953812
feature_extraction,vgg19,4170,16,2,16,2,16384,13.62278178
inference,efficientnet,2790,64,1,16,2,32768,0.527468588
preprocessing,polynomial_regression,120183,32,3,8,3,65536,39.47843088
training,gru,11612,64,1,16,3,32768,1.889506642
feature_extraction,random_forest,18382,16,3,16,1,32768,53.86672232
feature_extraction,gpt2,32457,16,1,32,3,32768,67.60474905
preprocessing,bert-base,50062,32,1,16,1,32768,29.57442427
inference,k-means,6552,64,1,16,2,32768,0.838646658
feature_extraction,random_forest,9428,32,4,16,3,16384,4.879279085
inference,catboost,58619,16,1,16,3,32768,136.1369959
training,bert-large,81951,16,3,8,3,32768,878.4493019
training,support_vector_machine (svm),16711,64,1,16,4,32768,1.521743174
preprocessing,vgg19,91490,32,5,32,2,16384,48.54563212
evaluation,k-nearest_neighbors (k-nn),25608,32,5,4,2,16384,25.97461556
feature_extraction,gru,10965,64,5,4,2,16384,3.138040442
preprocessing,logistic_regression,26252,32,1,8,1,65536,12.3722386
preprocessing,vgg16,71160,16,5,16,4,65536,21.72066337
evaluation,mobilenet,20086,32,1,16,2,16384,16.78020305
feature_extraction,vgg19,10161,16,1,16,1,16384,40.9430011
inference,efficientnet,39403,128,2,16,2,16384,2.20103645
training,naive_bayes,101413,32,2,16,1,32768,149.8973337
inference,resnet101,6795,32,1,8,3,32768,6.164269067
training,support_vector_machine (svm),11075,16,3,8,4,65536,55.99297424
preprocessing,gru,2967,16,2,16,1,32768,1.978370816
evaluation,xgboost,15642,64,5,16,2,32768,3.150039402
preprocessing,resnet101,19727,32,5,8,2,16384,15.33722343
training,xgboost,32997,64,5,32,2,16384,24.20178942
preprocessing,polynomial_regression,49580,64,4,16,1,16384,25.40211921
preprocessing,polynomial_regression,12663,16,1,8,1,32768,6.642966598
feature_extraction,gpt2-medium,6744,16,4,8,1,32768,26.0394568
feature_extraction,mobilenet,6768,16,1,16,4,65536,10.04118345
evaluation,gru,16465,16,4,8,1,32768,107.3708614
evaluation,lightgbm,71674,128,2,8,2,16384,5.234330184
preprocessing,lstm,10315,16,2,8,2,8192,8.110713839
training,lstm,14753,64,3,8,3,8192,12.06345252
training,support_vector_machine (svm),30961,64,5,8,2,16384,26.32065288
training,xgboost,3647,16,2,8,1,32768,27.30944
preprocessing,resnet101,22570,64,3,16,2,16384,13.86041151
preprocessing,naive_bayes,11772,16,5,8,3,32768,4.393494312
evaluation,naive_bayes,13256,16,2,16,3,8192,33.24373681
training,gpt2-medium,7430,32,1,16,2,32768,5.716828732
preprocessing,vgg16,3548,128,4,16,1,32768,2.432902814
training,gpt2-medium,14688,32,1,8,3,32768,12.30429409
inference,logistic_regression,10663,16,2,8,1,65536,36.65609945
inference,efficientnet,12928,32,1,8,1,32768,16.10642557
inference,vit-base,13463,32,4,32,1,65536,11.32456407
training,k-means,21220,16,5,8,1,32768,374.5050644
training,gpt2,17452,32,2,16,2,32768,28.41326385
inference,support_vector_machine (svm),51776,16,5,16,4,8192,90.08268053
feature_extraction,resnet50,86952,32,1,16,1,65536,62.77163889
training,lightgbm,6200,16,3,8,3,16384,54.25058357
inference,naive_bayes,50968,16,5,32,1,8192,134.1925101
feature_extraction,principal_component_analysis (pca),14768,128,4,4,1,16384,0.838635416
feature_extraction,principal_component_analysis (pca),14124,128,3,8,2,32768,0.53445442
evaluation,logistic_regression,29670,32,2,8,2,32768,24.32904098
preprocessing,logistic_regression,44864,32,4,16,3,8192,15.06745159
preprocessing,principal_component_analysis (pca),13547,32,3,16,3,8192,5.086334905
evaluation,gru,1537,32,2,16,3,16384,1.449326185
feature_extraction,k-means,9239,16,3,8,1,16384,26.65525016
evaluation,polynomial_regression,197013,32,4,16,1,32768,171.3641464
evaluation,lstm,95342,16,4,16,4,65536,244.1722883
inference,k-nearest_neighbors (k-nn),89533,16,5,8,3,8192,238.7914731
evaluation,gru,417797,64,3,8,2,65536,112.4462194
evaluation,bert-large,12810,32,3,16,3,16384,11.76542996
inference,bert-large,35637,32,4,16,3,8192,29.57727241
feature_extraction,bert-base,5765,16,2,16,4,16384,11.35758722
feature_extraction,bert-base,41672,32,4,4,2,32768,38.66703609
preprocessing,principal_component_analysis (pca),11734,32,1,16,1,16384,5.508663764
training,mobilenet,53066,32,1,8,4,16384,32.68983167
inference,vgg19,20438,64,5,8,1,32768,6.138899389
preprocessing,k-nearest_neighbors (k-nn),2550,128,1,8,2,65536,0.98772091
training,vgg16,13597,16,2,8,2,16384,121.9933261
evaluation,gpt2-medium,8396,64,4,16,2,32768,1.976588227
training,linear_regression,72648,128,3,4,1,65536,14.2084098
training,vgg16,20212,128,2,8,1,32768,2.972564781
training,linear_regression,66214,32,5,16,4,32768,110.9450171
training,catboost,6608,32,5,16,2,32768,22.10683256
evaluation,bert-large,45382,16,5,16,2,65536,176.9760749
evaluation,bert-base,12584,16,3,32,3,32768,39.55663933
feature_extraction,resnet101,50551,16,3,16,3,65536,116.0465463
evaluation,mobilenet,37884,16,2,4,3,16384,187.2554748
training,bert-base,42803,128,5,8,1,16384,18.30198455
preprocessing,random_forest,22137,16,5,8,2,16384,13.9405177
inference,vit-base,7359,32,1,16,1,16384,8.318440577
training,principal_component_analysis (pca),31638,16,4,8,1,32768,422.9103174
evaluation,mobilenet,25278,32,3,8,1,16384,33.91001489
evaluation,gpt2,115710,16,2,16,2,8192,581.0364329
feature_extraction,lightgbm,6211,64,1,16,1,32768,1.105303025
feature_extraction,efficientnet,3416,16,1,16,3,16384,9.238254386
inference,lstm,100883,16,5,16,1,32768,414.1458773
feature_extraction,bert-base,12380,16,5,32,4,16384,20.07511021
preprocessing,xgboost,19854,16,3,16,1,8192,11.45929195
evaluation,naive_bayes,91567,32,1,16,2,16384,75.53716281
training,naive_bayes,24329,16,1,16,2,32768,48.10489256
evaluation,xgboost,74372,32,4,16,1,32768,78.63607353
evaluation,lstm,1027,64,1,8,1,16384,0.452751938
feature_extraction,random_forest,22543,128,3,32,2,16384,0.706224908
training,xgboost,28297,32,4,16,1,16384,95.29371197
training,efficientnet,36185,64,4,4,2,16384,51.81506604
preprocessing,polynomial_regression,9867,32,3,8,1,32768,5.314294538
preprocessing,naive_bayes,39592,32,3,16,2,65536,13.40308101
evaluation,resnet101,6954,64,1,4,1,65536,3.172674208
training,k-means,14882,16,5,8,3,8192,222.6540926
feature_extraction,vit-base,37930,32,1,8,2,32768,33.97451151
inference,resnet101,24071,32,5,16,2,32768,18.40600013
training,gpt2,11388,16,3,16,1,32768,149.6885559
feature_extraction,bert-large,22263,64,2,16,1,65536,4.181733041
training,bert-large,53385,32,1,8,3,65536,45.4415083
feature_extraction,support_vector_machine (svm),52620,16,2,16,3,32768,76.61780575
preprocessing,bert-large,14197,16,1,16,1,16384,9.694639935
feature_extraction,resnet50,6784,16,2,16,3,32768,14.70325509
training,polynomial_regression,37969,16,5,8,1,16384,685.0930252
preprocessing,vgg19,27206,16,1,8,2,8192,19.77267207
preprocessing,bert-large,52084,128,1,8,1,65536,39.10977796
preprocessing,efficientnet,46554,16,2,4,2,32768,35.01532393
preprocessing,vit-base,48934,16,1,8,1,16384,42.79897747
evaluation,resnet50,58136,64,2,16,4,65536,9.091010986
inference,logistic_regression,14264,16,2,8,1,65536,45.8741564
training,naive_bayes,10250,64,1,8,1,16384,2.45012818
inference,polynomial_regression,73162,16,5,8,2,16384,208.3418666
preprocessing,support_vector_machine (svm),42043,16,1,16,1,32768,17.59490368
evaluation,naive_bayes,25623,16,1,4,2,16384,118.9102132
training,resnet101,120943,32,4,8,3,8192,500.1321147
evaluation,yolo,42375,16,2,8,4,16384,143.7243591
training,gpt2-medium,67266,64,5,8,1,65536,96.14181667
evaluation,vit-base,33971,16,3,16,3,32768,122.0766853
